#Frame                com          pep          pro         bind
      1.9500       2.7658       1.8289       2.7660       2.0927
      1.9600       2.7911       1.9160       2.7916       2.1163
      1.9700       2.7428       1.7960       2.7446       2.1114
      1.9800       2.7107       1.7195       2.7171       2.0759
      1.9900       2.6686       1.7350       2.6837       2.0399
      2.0000       2.6036       1.6653       2.6132       1.9712
      2.0100       2.6810       1.7404       2.6819       2.0192
      2.0200       2.7127       1.7484       2.7243       2.0049
      2.0300       2.7464       1.7603       2.7430       2.0727
      2.0400       2.6739       1.8646       2.6601       2.0165
      2.0500       2.7447       1.8204       2.7610       2.0173
      2.0600       2.6409       1.7651       2.6389       2.0933
      2.0700       2.4977       1.7184       2.5149       1.9655
      2.0800       2.5135       1.7070       2.5317       1.9310
      2.0900       2.5289       1.6815       2.5457       1.8796
      2.1000       2.6401       1.7427       2.6527       1.9944
      2.1100       2.7583       1.7995       2.7818       2.1111
      2.1200       2.8554       1.7571       2.8696       2.1291
      2.1300       2.7268       1.8128       2.7512       2.0406
      2.1400       2.8405       1.7960       2.8705       2.1363
      2.1500       2.8142       1.6712       2.8431       2.1247
      2.1600       2.8546       1.7135       2.8955       2.0843
      2.1700       2.8411       1.7528       2.8697       2.0820
      2.1800       2.7993       1.7318       2.8187       2.0691
      2.1900       2.8057       1.6372       2.8402       2.0704
      2.2000       2.8619       1.6919       2.8808       2.0746
      2.2100       2.8828       1.6356       2.9105       2.0413
      2.2200       2.8717       1.7413       2.8933       2.1051
      2.2300       2.9290       1.7707       2.9507       2.1345
      2.2400       2.8864       1.8164       2.9104       2.1244
      2.2500       2.7964       1.8259       2.8065       2.1729
      2.2600       2.7634       1.8321       2.7485       2.1090
      2.2700       2.7175       1.7246       2.7225       2.0239
      2.2800       2.6327       1.6645       2.6440       2.0453
      2.2900       2.5001       1.6251       2.5057       1.8991
      2.3000       2.7219       1.6484       2.7523       1.9494
      2.3100       2.6577       1.7230       2.6775       2.0276
      2.3200       2.7872       1.8575       2.7920       2.0973
      2.3300       2.7526       1.7856       2.7439       2.0278
      2.3400       2.8308       1.7738       2.8381       2.0386
      2.3500       2.7585       1.6673       2.7754       2.0576
      2.3600       2.6772       1.6312       2.6885       2.0269
      2.3700       2.6959       1.7390       2.7058       2.0510
      2.3800       2.6980       1.6655       2.7081       1.9446
      2.3900       2.7520       1.8038       2.7471       2.0724
      2.4000       2.6888       1.7627       2.6894       2.0275
      2.4100       2.7054       1.7376       2.7178       2.0521
      2.4200       2.7466       1.7129       2.7659       2.0452
      2.4300       2.7634       1.7582       2.7752       2.1012
      2.4400       2.8404       1.8816       2.8445       2.2088
      2.4500       2.8337       1.7831       2.8433       2.1605
      2.4600       2.6947       1.6487       2.7051       2.0447
      2.4700       2.6838       1.7184       2.6876       2.1197
      2.4800       2.8154       1.7101       2.8303       2.1718
      2.4900       3.0185       1.6981       3.0507       2.1794
      2.5000       2.9692       1.8160       2.9772       2.1768
      2.5100       2.9138       1.6504       2.9443       2.1636
      2.5200       2.9178       1.7267       2.9250       2.2627
      2.5300       2.8611       1.7844       2.8569       2.2566
      2.5400       2.9027       1.6145       2.9025       2.2416
      2.5500       2.8596       1.6877       2.8793       2.1860
      2.5600       2.7733       1.5373       2.7970       2.0874
      2.5700       2.8619       1.5569       2.8598       2.1125
      2.5800       2.6534       1.5578       2.6282       2.0368
      2.5900       2.7167       1.4725       2.7194       2.0834
      2.6000       2.5491       1.5287       2.5303       1.8903
      2.6100       2.6203       1.5393       2.6240       1.9440
      2.6200       2.6882       1.6387       2.6743       2.1532
      2.6300       2.6842       1.5539       2.6959       2.0779
      2.6400       2.6171       1.7166       2.6068       2.0452
      2.6500       2.6849       1.8466       2.6530       2.1340
      2.6600       2.7943       1.8176       2.7570       2.2270
      2.6700       2.7429       1.7978       2.7148       2.1961
      2.6800       2.7065       1.6300       2.7024       2.0325
      2.6900       2.7902       1.7319       2.7985       2.0486
      2.7000       2.6854       1.7312       2.6906       2.0466
      2.7100       2.6823       1.8304       2.6820       2.0242
      2.7200       2.6964       1.7943       2.6905       2.0666
      2.7300       2.7234       1.8182       2.7159       2.0746
      2.7400       2.5980       1.7323       2.5923       2.0057
      2.7500       2.7624       1.9116       2.7458       2.1052
      2.7600       2.7641       1.8057       2.7580       2.0795
      2.7700       2.9196       1.7546       2.9267       2.1879
      2.7800       2.7673       1.8648       2.7739       2.1037
      2.7900       2.8309       1.8475       2.8337       2.1323
      2.8000       2.6743       1.7269       2.6883       2.0167
      2.8100       2.7175       1.8797       2.7070       2.0436
      2.8200       2.6056       1.8708       2.6122       1.9812
      2.8300       2.7274       1.8069       2.7328       2.1097
      2.8400       2.7330       1.8477       2.7343       2.0833
      2.8500       2.7176       1.8530       2.7142       2.0880
      2.8600       2.7310       1.7789       2.7226       2.0937
      2.8700       2.7032       1.8607       2.6947       2.0797
      2.8800       2.6959       1.9431       2.6865       2.0489
      2.8900       2.7616       1.7789       2.7528       2.1130
      2.9000       2.6483       1.8346       2.6324       2.0106
      2.9100       2.6832       1.7605       2.6580       2.0877
      2.9200       2.6940       1.9492       2.6802       2.1430
      2.9300       2.7784       1.9128       2.7641       2.2019
      2.9400       2.7585       1.7504       2.7577       2.1138
      2.9500       2.8091       1.7867       2.7847       2.1862
      2.9600       2.7987       1.9297       2.7840       2.1459
      2.9700       2.7884       1.8522       2.7753       2.1673
      2.9800       2.7904       1.8341       2.7613       2.1857
      2.9900       2.7982       1.8365       2.7795       2.1637
      3.0000       2.8498       1.9060       2.8214       2.2664
      3.0100       2.7697       1.7857       2.7601       2.1695
      3.0200       2.8565       1.9423       2.8122       2.3191
      3.0300       2.8890       1.9082       2.8256       2.3598
      3.0400       2.8505       1.9246       2.8062       2.2823
      3.0500       2.8297       1.8523       2.7682       2.2657
      3.0600       2.7062       1.8681       2.6604       2.2221
      3.0700       2.8310       1.8186       2.7620       2.3333
      3.0800       2.7248       1.9782       2.6525       2.3277
      3.0900       2.7230       1.9168       2.6575       2.2892
      3.1000       2.5784       1.8788       2.5102       2.1813
      3.1100       2.7309       1.8846       2.6807       2.2098
      3.1200       2.7517       1.8944       2.6929       2.2315
      3.1300       2.6826       1.7984       2.6373       2.1886
      3.1400       2.6369       1.7499       2.5905       2.1939
      3.1500       2.7109       1.6895       2.6960       2.0949
      3.1600       2.7733       1.9748       2.7228       2.2374
      3.1700       2.7856       1.8676       2.7457       2.1990
      3.1800       2.7115       1.9260       2.6856       2.1475
      3.1900       2.6113       1.7700       2.5907       2.0576
      3.2000       2.5901       1.8157       2.5658       2.0327
      3.2100       2.5693       1.8700       2.5509       2.0365
      3.2200       2.5869       1.6372       2.5855       2.0005
      3.2300       2.5710       1.8669       2.5441       2.0820
      3.2400       2.4732       1.7486       2.4564       2.0199
      3.2500       2.5162       1.8104       2.4941       2.0605
      3.2600       2.5106       1.7457       2.4898       1.9402
      3.2700       2.4190       1.8262       2.3878       1.9343
      3.2800       2.5262       1.8005       2.5195       1.9619
      3.2900       2.4569       1.8102       2.4363       1.8938
      3.3000       2.3896       1.8342       2.3800       1.9459
      3.3100       2.3551       1.7178       2.3540       1.8903
      3.3200       2.3834       1.7642       2.3805       1.9627
      3.3300       2.4796       1.9242       2.4841       1.9572
      3.3400       2.5396       1.8546       2.5423       1.9949
      3.3500       2.4176       1.7002       2.4214       1.8939
      3.3600       2.5084       1.7054       2.5159       1.9234
      3.3700       2.3493       1.6211       2.3635       1.8446
      3.3800       2.4740       1.6774       2.4871       1.8771
      3.3900       2.5162       1.6705       2.5221       1.9299
      3.4000       2.4792       1.6913       2.4679       1.9100
      3.4100       2.5417       1.7789       2.5469       2.0143
      3.4200       2.5721       1.7538       2.5723       1.9564
      3.4300       2.4881       1.7096       2.4788       1.9455
      3.4400       2.5799       1.7269       2.5605       2.0107
      3.4500       2.6900       1.7058       2.6883       2.0843
      3.4600       2.6697       1.5900       2.6654       2.0317
      3.4700       2.5463       1.4030       2.5460       1.9709
      3.4800       2.6146       1.4885       2.6342       1.9544
